Player ID,Team ,Player,Position,HEIGHT(CM),WEIGHT(KG),Apps,Mins,Total Passes,AccLB,InAccLB,AccSP,InAccSP,Rating
002-009,Manchester City FC 2020-2021,Kyle Walker,Defender,178,80,11,982,771,39,29,643,60,7.05
002-010,Manchester City FC 2020-2021,Rodri,Midfielder,190,82,10,785,837,47,15,720,55,7.02
002-011,Manchester City FC 2020-2021,Rúben Dias,Defender,186,76,11,970,903,26,19,826,32,6.99
002-012,Manchester City FC 2020-2021,Aymeric Laporte,Defender,189,86,4,277,307,6,5,283,13,6.87
002-013,Manchester City FC 2020-2021,Oleksandr Zinchenko,Defender,175,64,9,585,591,11,8,519,53,6.82
002-014,Manchester City FC 2020-2021,Zack Steffen,Goalkeeper,191,86,1,90,20,1,2,17,-,6.82
002-015,Manchester City FC 2020-2021,John Stones,Defender,188,80,11,796,674,23,15,612,24,6.75
002-016,Manchester City FC 2020-2021,Bernardo Silva,Midfielder,173,64,13,930,519,12,5,442,60,6.74
002-017,Manchester City FC 2020-2021,Gabriel Jesus,Forward,175,73,7,268,13.9,0.1,-,11.1,2.6,6.69
002-018,Manchester City FC 2020-2021,Raheem Sterling,Forward,172,69,11,649,237,-,1,200,36,6.69
002-019,Manchester City FC 2020-2021,Eric García,Defender,182,76,3,208,79.7,3.7,1.3,71.3,3.3,6.63
002-020,Manchester City FC 2020-2021,Ederson,Goalkeeper,188,86,12,1080,23.2,3.8,3.6,15.7,0.3,6.61
002-021,Manchester City FC 2020-2021,Fernandinho,Midfielder,177,70,7,342,37.9,1.9,1.3,31.9,2.9,6.59
002-022,Manchester City FC 2020-2021,Felix Nmecha,Midfielder,188,73,1,5,3,-,-,3,-,6.39
002-023,Manchester City FC 2020-2021,Sergio Aguero,Forward,173,70,7,147,3.1,-,-,2.4,0.7,6.25
002-024,Manchester City FC 2020-2021,Tommy Doyle,Midfielder,0,0,1,4,1,-,-,1,-,6.21
002-025,Manchester City FC 2020-2021,Cole Palmer,Midfielder,182,0,1,8,5,-,-,5,-,6.01
